,municipio_o,comuna_o,hora_o,municipio_d,comuna_d,hora_d,motivo_viaje,modo_tte,o_long,o_lat,d_long,d_lat
6981,Medellin,Manrique,07:25:00,Medellin,Laureles-Estadio,08:00:00,Trabajo,Moto (Conductor),-75.5496173,6.27113569,-75.60225267,6.240455951
6982,Medellin,Laureles-Estadio,17:00:00,Medellin,Manrique,17:40:00,Casa,Moto (Conductor),-75.59721002,6.260342369,-75.54132712,6.274564539
6983,Medellin,Aranjuez,06:00:00,Medellin,El Poblado,07:00:00,Trabajo,Moto (Conductor),-75.57027051,6.266533126,-75.56095921,6.206360857
6984,Medellin,El Poblado,17:00:00,Medellin,Aranjuez,19:00:00,Casa,Moto (Conductor),-75.56814829,6.188068907,-75.55659056,6.284126868
6985,Medellin,Aranjuez,07:30:00,Medellin,La Candelaria,08:00:00,Trabajo,Moto (Conductor),-75.55724323,6.27005144,-75.57203897,6.25481157
6986,Medellin,La Candelaria,19:00:00,Medellin,Aranjuez,20:00:00,Casa,Moto (Conductor),-75.55949717,6.243368269,-75.55647982,6.272040805
6987,Envigado,Zona 09,06:00:00,Medellin,El Poblado,06:10:00,Trabajo,Moto (Acompa?帶nte),-75.58313153,6.124528503,-75.56510347,6.189240201
6988,Medellin,El Poblado,17:00:00,Envigado,Zona 09,17:15:00,Casa,Moto (Acompa?帶nte),-75.56980747,6.185218108,-75.50771613,6.180342316
6989,Envigado,Zona 09,06:00:00,Medellin,El Poblado,06:10:00,Alguien,Moto (Acompa?帶nte),-75.56104143,6.120977046,-75.56697684,6.191364323
6990,Medellin,El Poblado,06:15:00,Envigado,Zona 09,06:25:00,Casa,Moto (Acompa?帶nte),-75.57331576,6.219128335,-75.55264942,6.128160848
6991,Envigado,Zona 09,16:50:00,Medellin,El Poblado,17:00:00,Alguien,Moto (Acompa?帶nte),-75.52685034,6.165480727,-75.5590066,6.179401577
6992,Medellin,El Poblado,17:05:00,Envigado,Zona 09,17:15:00,Casa,Moto (Acompa?帶nte),-75.55177467,6.212338565,-75.56997279,6.117300817
6993,Medellin,Aranjuez,11:00:00,Medellin,La Candelaria,11:20:00,Estudio,Moto (Conductor),-75.56821511,6.283051993,-75.56743537,6.253764003
