ORIGIN_MUNICIPIO,ORIGIN_COMUNA,ORIGIN_TIME,o_lat,o_long,DESTINATION_MUNICIPIO,DESTINATION_COMUNA,DESTINATION_TIME,d_lat,d_long,TRANSPORT_MODE_S1,TRIP_PURPOSE
Itagui,Itagui-Comuna 04,05:15:00,6.177412623,-75.61311363,Medellin,La Candelaria,05:50:00,6.244651614,-75.56889023,Moto (Conductor),Estudio
Medellin,La Candelaria,11:00:00,6.258234654,-75.569093,Medellin,Buenos Aires,11:30:00,6.228925338,-75.56093981,Moto (Conductor),Trabajo
Medellin,Buenos Aires,21:30:00,6.22748683,-75.55578603,Itagui,Itagui-Comuna 04,22:00:00,6.19037162,-75.59636006,Moto (Conductor),Casa
Envigado,Zona 06,05:30:00,6.160935971,-75.47743682,Medellin,El Poblado,06:00:00,6.201954079,-75.57506051,Moto (Conductor),Trabajo
Medellin,El Poblado,15:00:00,6.209406426,-75.56189874,Envigado,Zona 06,15:30:00,6.138082632,-75.568697,Moto (Conductor),Casa
Envigado,Zona 06,07:00:00,6.159733345,-75.53657401,Envigado,Zona 07,07:15:00,6.143650815,-75.54027929,Moto (Conductor),Trabajo
Envigado,Zona 07,13:30:00,6.16211084,-75.49448687,Envigado,Zona 06,13:45:00,6.139857974,-75.57332224,Moto (Conductor),Casa
Itagui,Itagui-Comuna 04,06:30:00,6.196956593,-75.60015343,Medellin,El Poblado,06:40:00,6.188206355,-75.55924474,Moto (Conductor),Trabajo
Medellin,El Poblado,12:00:00,6.18393482,-75.55834343,Itagui,Itagui-Comuna 04,12:20:00,6.186226525,-75.61740672,Moto (Conductor),Almuerzo
Itagui,Itagui-Comuna 04,13:40:00,6.176768771,-75.60721824,Medellin,El Poblado,13:55:00,6.196036379,-75.56474222,Moto (Conductor),Trabajo
Medellin,El Poblado,17:30:00,6.184805133,-75.56591224,Itagui,Itagui-Comuna 04,17:55:00,6.171268786,-75.62394572,Moto (Conductor),Casa
Medellin,San Javier,05:30:00,6.256600068,-75.61983986,Medellin,El Poblado,06:00:00,6.204504749,-75.55632301,Moto (Acompa?±ante),Trabajo
Bello,Bello-Comuna 01,05:50:00,6.403018166,-75.60510619,Bello,Bello-Comuna 04,06:50:00,6.373696245,-75.55388857,Moto (Conductor),Estudio
Bello,Bello-Comuna 04,09:30:00,6.428289307,-75.58950009,Bello,Bello-Comuna 01,10:00:00,6.321406591,-75.56097825,Moto (Conductor),Casa
Bello,Bello-Comuna 01,11:45:00,6.359959529,-75.61345872,Bello,Bello-Comuna 04,12:00:00,6.321279752,-75.59859035,Moto (Conductor),Alguien
Bello,Bello-Comuna 04,12:01:00,6.362602055,-75.63498224,Bello,Bello-Comuna 01,12:30:00,6.401269784,-75.57205952,Moto (Conductor),Casa
Bello,Bello-Comuna 01,05:50:00,6.344797291,-75.59165147,Bello,Bello-Comuna 04,06:00:00,6.379204669,-75.54308852,Moto (Acompa?±ante),Estudio
Bello,Bello-Comuna 04,12:00:00,6.341934471,-75.52860462,Bello,Bello-Comuna 01,12:30:00,6.309919621,-75.59798563,Moto (Acompa?±ante),Casa
Bello,Bello-Comuna 02,16:00:00,6.349720389,-75.60427857,Medellin,La Candelaria,17:30:00,6.260246242,-75.57137668,Moto (Acompa?±ante),Alguien
Medellin,La Candelaria,17:31:00,6.259040748,-75.56302916,Bello,Bello-Comuna 02,18:00:00,6.382674468,-75.56885317,Moto (Acompa?±ante),Casa
Bello,Bello-Comuna 02,04:00:00,6.371400576,-75.52711986,Medellin,La Candelaria,05:00:00,6.248008067,-75.57595181,Moto (Conductor),Trabajo
Medellin,La Candelaria,16:00:00,6.241818819,-75.56805285,Bello,Bello-Comuna 02,17:00:00,6.418505177,-75.58228167,Moto (Conductor),Casa
Envigado,Zona 07,05:00:00,6.161363412,-75.56500199,Copacabana,Urbana Copacabana,06:00:00,6.334344513,-75.53120111,Moto (Conductor),Trabajo
Copacabana,Urbana Copacabana,15:00:00,6.333387078,-75.507064,Envigado,Zona 07,15:30:00,6.159208881,-75.55446738,Moto (Conductor),Casa
Envigado,Zona 07,07:30:00,6.192966381,-75.49164598,Sabaneta,Urbana Sabaneta,08:00:00,6.155933233,-75.61981259,Moto (Conductor),Trabajo
Sabaneta,Urbana Sabaneta,17:30:00,6.138097935,-75.62085294,Envigado,Zona 07,18:30:00,6.170349677,-75.589081,Moto (Conductor),Casa
Bello,Bello-Comuna 02,07:00:00,6.422260203,-75.58662843,Medellin,Laureles-Estadio,07:45:00,6.241585175,-75.59217128,Moto (Conductor),Alguien
Medellin,Laureles-Estadio,08:50:00,6.239018807,-75.61078704,Bello,Bello-Comuna 02,09:40:00,6.351275383,-75.52765587,Moto (Conductor),Casa
Bello,Bello-Comuna 02,07:00:00,6.339167433,-75.57531241,Medellin,Laureles-Estadio,07:45:00,6.263401514,-75.58960878,Moto (Acompa?±ante),Salud
Medellin,Laureles-Estadio,08:50:00,6.243272231,-75.59013077,Bello,Bello-Comuna 02,09:40:00,6.331214733,-75.61973086,Moto (Acompa?±ante),Casa
Bello,Bello-Comuna 02,05:30:00,6.337119498,-75.60705869,Medellin,La Candelaria,06:20:00,6.24830705,-75.56973798,Moto (Conductor),Trabajo
Medellin,La Candelaria,13:00:00,6.252033505,-75.56500048,Bello,Bello-Comuna 02,14:00:00,6.331777621,-75.58893205,Moto (Conductor),Casa
Bello,Bello-Comuna 02,03:30:00,6.361421257,-75.5729067,Medellin,Castilla,04:00:00,6.301388725,-75.55992709,Moto (Conductor),Trabajo
